Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
ἀποφεύγω,,"flee away, escape",ῥῆμα,10
δεῖ,,it's necessary,ῥῆμα,10
ἔξεστι(ν),,it's allowed/possible,ῥῆμα,10
καταλείπω,,"leave behind, desert",ῥῆμα,10
τρέπω,,turn,ῥῆμα,10
ἡ βοή,,shout,ὄνομα,10
ἡ κεφαλή,,head,ὄνομα,10
οἱ τεκόντες,,parents,ὄνομα,10
τὸ ὕδωρ,,water,ὄνομα,10
πρό,,before (+gen),πρόθεσις,10
εὐθύς,εὐθέως,"immediately, at once",ἐπίρρημα,10
ποτέ,,"at some/one time, once, ever",ἐπίρρημα,10
ἀναπνέω,ἀναπνῶ,breathe (again); recover,ῥῆμα,10
διαπράττω,διαπράσσω,pass over; accomplish; destroy,ῥῆμα,10
διοικέω,διοικῶ,"keep house, organize",ῥῆμα,10
εὐεργετέω,εὐεργετῶ,"benefit, do good (deeds)",ῥῆμα,10
καίομαι,,burn; be burned,ῥῆμα,10
κινέομαι,κινοῦμαι,"move; be moved, put in motion",ῥῆμα,10
μισέω,μισῶ,hate,ῥῆμα,10
ποθέω,ποθῶ,long for,ῥῆμα,"10, 30"
πολυπραγμονέω,πολυπραγμονῶ,multitask; meddle,ῥῆμα,10
σαλπίζω,,sound the trumpet,ῥῆμα,10
ὑμνέω,ὑμνῶ,"sing, chant (of); praise; recite",ῥῆμα,10
χορεύω,,dance,ῥῆμα,10
ὁ θρᾶνος,,bench; beam,ὄνομα,10
ἡ ὀρχήστρα,,orchestra (pit),ὄνομα,10
ὁ πόθος,,"longing, yearning, regret",ὄνομα,10
ὁ σαλπιγκτής,,trumpeter,ὄνομα,10
ὁ στέφανος,,"that which surrounds; crown, wreath",ὄνομα,10
ἡ τραγῳδία,,tragedy; serious poetry,ὄνομα,10
τλήμων,,"suffering, miserable; patient",ἐπίθετον,10
ἀμέλει,,"never mind; by all means, of course",ἐπίρρημα,10
ἄριστα,,"best, most excellently",ἐπίρρημα,10
ἐφεξῆς,,"in order, in a row",ἐπίρρημα,10
πρωΐ,"πρῶϊ, πρῷ",morning; early,ἐπίρρημα,10
κατὰ τὸ εἰκός,κατὰ τ ̓ εἰκός,in all likelihood,ἐπίρρημα,10
ἄνω,,up(wards); above,ἐπίρρημα,"10, 20"
καταχέω,,pour X (+acc) over Y (+gen),ῥῆμα,"10, 30"
αἰτέω,αἰτῶ,ask (for),ῥῆμα,11
ἀποθνῄσκω,,die,ῥῆμα,11
δακρύω,,"cry, weep",ῥῆμα,11
δοκεῖ,,it seems (good),ῥῆμα,11
εἰσάγω,,lead in; take in,ῥῆμα,11
ἔφη,,(s)he said,ῥῆμα,11
κομίζω,,bring; take,ῥῆμα,11
κόπτω,,strike; knock on (a door),ῥῆμα,11
μανθάνω,,learn; understand,ῥῆμα,11
σκοπέω,σκοπῶ,"look at, examine; consider",ῥῆμα,11
ὁ ἀδελφός,,brother,ὄνομα,11
ὁ ἱατρός,,doctor,ὄνομα,11
ὁ λόγος,,word; story,ὄνομα,11
σοφός,,skilled; wise; clever,ἐπίθετον,11
τυφλός,,blind,ἐπίθετον,11
παρά,,to (someone) (+acc),πρόθεσις,11
αὔριον,,tomorrow,ἐπίρρημα,11
εἰ,,if; whether,σύνδεσμος,11
καλῶς ἔχω,,I'm well,λόγος,11
πῶς ἔχεις;,,How are you?,λόγος,11
λέγω,,say,ῥῆμα,11
νοσέω,νοσῶ,"be sick, ill",ῥῆμα,11
ὠφελέω,ὠφελῶ,help; benefit,ῥῆμα,11
τὸ ἀργύριον,,silver; money,ὄνομα,11
ἡ δραχμή,,a large silver coin (6 obols),ὄνομα,11
ὁ μισθός,,reward; pay,ὄνομα,11
ὁ ὀβολός,,a small silver coin,ὄνομα,11
οἴμοι,,alas!,ῥῆμα,11
κατὰ θάλατταν,,by sea,λόγος,11
δανείζω,,lend,ῥῆμα,11
θαρρύνω,θαρσύνω,"encourage, embolden",ῥῆμα,11
λυπέομαι,λυποῦμαι,"grieve, be distress, pained",ῥῆμα,11
οἶμαι,οἴομαι,"think, suppose, believe",ῥῆμα,11
παραμυθέομαι,παραμυθοῦμαι,"encourage, console",ῥῆμα,11
ὑπολαμβάνω,,"take up, support; interrupt; interpret",ῥῆμα,11
ὁ ἀνδρών,,men's quarters; banqueting hall,ὄνομα,11
ὁ γυναικών,,women's quarters,ὄνομα,11
τὸ ζῷον,,"living being, animal",ὄνομα,11
ὁ ἰατρός,,"healer, physician",ὄνομα,11
ὁ κόραξ,,"raven, crow; hook",ὄνομα,11
ἡ κυψέλη,,"chest, box",ὄνομα,11
τὸ μάθημα,,"lesson; learning, knowledge",ὄνομα,11
τὸ πάθημα,,"suffering, misfortune",ὄνομα,11
ὁ πένης,,"laborer, worker",ὄνομα,11
τὸ σπήλαιον,,"grotto, cavern",ὄνομα,11
ἡ σωτηρία,,"deliverance, preservation",ὄνομα,11
τὸ τραῦμα,,"wound, damage, blow, defeat",ὄνομα,11
τὸ χάσμα,,"chasm, gulf",ὄνομα,11
εὔφρων,,"cheerful, merry; kindly, gracious, benevolent",ἐπίθετον,11
θαυμαστός,,"wonderful, marvelous",ἐπίθετον,11
πρεσβύτατος,,eldest,ἐπίθετον,11
τάλας,,"suffering, wretched",ἐπίθετον,11
φίλτατος,,nearest and dearest,ἐπίθετον,11
ἅλις,,(that's) enough; (in) plenty,ἐπίρρημα,11
ὀψέ,,late; too late,ἐπίρρημα,"11, 17"
πώποτε,,ever,ἐπίρρημα,"11, 30"
εἴ πως,,if somehow,σύνδεσμος,11
καίπερ,,although,σύνδεσμος,"11, 12"
βάλλ᾽ ἐς κόρακας,,go to hell!,λόγος,11
εἰς τοῦ ἰατροῦ,,to the doctor's,λόγος,11
κόπτω τὴν θύραν,,knock on the door,λόγος,11
οἷός τε γίγνομαι,,become able/possible,λόγος,11
πῶς γὰρ οὔ;,,of course it is; why not?,λόγος,11
πῶς ἔχεις;,,How are you?,λόγος,11
σὸν ἔργον,,your (own) business,λόγος,11
χάριν ἔχω,,give thanks,λόγος,11
πεζῇ,,"by foot; by walking (dative of πεζός, -ή, -ὀν)",ἐπιίθετον,11
ὦ δαιμόνιε,,good sir,ἐπίθετον,11
ἔσβησαν ,,"was quenched/extinguished, went out",ῥῆμα,11
ἀπορέω,ἀπορῶ,be at a loss,ῥῆμα,12
φροντίζω,,worry; care,ῥῆμα,12
ὁ ἡμίονος,,mule,ὄνομα,12
ὁ λιμήν,,harbor,ὄνομα,12
ὁ ὅμιλος,,crowd,ὄνομα,12
τὸ τεῖχος,,wall,ὄνομα,12
γεραιός,,old,ἐπίθετον,12
κακός,,bad; evil,ἐπίθετον,12
ὀρθός,,straight; right; correct,ἐπίθετον,12
τάχιστα,,most quickly/swiftly,ἐπίρρημα,12
ὡς τάχιστα,,as quickly as possible,ἐπίρρημα,12
ἤ,,or; than,σύνδεσμος,12
χαίρειν κελεύω,,bid farewell,λόγος,12
ἐρωτάω,,ask,ῥῆμα,12
φαίνομαι,,appear,ῥῆμα,12
ὁ ἔμπορος,,merchant,ὄνομα,12
ὁ ναύκληρος,,ship's captain,ὄνομα,12
ὁ ναύτης,,sailor,ὄνομα,12
πλείων,,more,ἐπίθετον,12
πλεῖστος,,most; very great/many,ἐπίθετον,12
Ἀθήναζε,,to(ward) Athens,ἐπίρρημα,12
μέγα,,greatly; loudly,ἐπίρρημα,12
τότε,,then,ἐπίρρημα,12
μάλιστά γε,,"certainly, indeed",λόγος,12
γαμέομαι,γαμοῦμαι,"give in marriage, betroth",ῥῆμα,12
ἐγείρομαι,,wake up; be excited,ῥῆμα,12
ἐλεέω,ἐλεῶ,"have pity on, show mercy to",ῥῆμα,12
ἐνδύομαι,,put on (clothes); enter,ῥῆμα,12
ἐπιλανθάνομαι,,forget,ῥῆμα,12
ἔχομαι,,hold on to; follow closely; depend on,ῥῆμα,12
ἰάομαι,,heal; repair,ῥῆμα,12
ἱκετεύω,,"supplicate, beseech",ῥῆμα,12
νέω,,swim; float,ῥῆμα,12
πειράομαι,πειρῶμαι,"try, attempt",ῥῆμα,12
πλανάομαι,πλανῶμαι,"wander, roam about",ῥῆμα,12
πλύνω,,"wash, clean",ῥῆμα,12
πωλέω,πωλῶ,"sell, barter; betray",ῥῆμα,12
τρέπομαι,,"turn, turn in flight",ῥῆμα,12
τὰ αἰδοῖα,,genitals,ὄνομα,12
ἡ ἀμφίπολος,,"handmaid, attendant; priestess",ὄνομα,12
ἡ ἄνασσα,,"queen, lady",ὄνομα,12
τὸ ἄνθος,,flower; brightness,ὄνομα,12
τὸ ἐνύπνιον,τ ̓ ἐνύπνιον,dream; vision,ὄνομα,12
ὁ θάμνος,,"bush, shrub",ὄνομα,12
ἡ θεράπαινα,,handmaid,ὄνομα,12
τὸ ἱμάτιον,θ ̓ ἱμάτιον,outer garment; cloak,ὄνομα,12
τὰ ἱμάτια,,clothes,ὄνομα,12
ὁ ἱστός,,"mast, beam; something upright",ὄνομα,12
ὁ κεραυνός,,thunderbolt,ὄνομα,12
ἡ νύμφη,,"young wife, bride, nymph",ὄνομα,12
τὸ οἰνοπώλιον,τ ̓ οἰνοπώλιον,wine-shop,ὄνομα,12
ἡ ὄψις,,"aspect, appearance",ὄνομα,12
ἡ πέτρα,,"rock, stone; ledge",ὄνομα,12
ὁ πόσις,,husband,ὄνομα,12
ὁ πτόρθος,,"young branch, shoot",ὄνομα,12
ὁ πτωχός,,beggar,ὄνομα,12
ἡ σφαῖρα,,ball; globe,ὄνομα,12
ὁ ὗς,σῦς,"pig, swine, hog",ὄνομα,12
τὸ φορτίον,,"load, burden, freight",ὄνομα,12
τὸ χῶμα,,"bank, mound (of dirt)",ὄνομα,12
ἀλλότριος,,"belonging to another; foreign, strange",ἐπίθετον,12
ἄλουτος,,unwashed,ἐπίθετον,12
ἀνθρώπινος,,human,ἐπίθετον,12
γυμνός,,naked; unarmed,ἐπίθετον,12
θνητός,,mortal,ἐπίθετον,12
ὁμαλός,,"even, level",ἐπίθετον,12
ὅμοιος,,"like, resembling",ἐπίθετον,12
πρᾶος,,"mild, soft, gentle, meek",ἐπίθετον,12
ὑπέρκοπος,,"overstepping all bounds, arrogant",ἐπίθετον,12
φιλάνθρωπος,,"humane, benevolent",ἐπίθετον,12
χωλός,,lame,ἐπίθετον,12
εὐμενῶς,,"favorably, kindly",ἐπίρρημα,12
πανταχόσε,,in all directions,ἐπίρρημα,12
πόρρωθεν,,from afar,ἐπίρρημα,12
διάγω τὸν βίον,,"pass life, live",λόγος,12
εἰς καιρόν,,in time,λόγος,12
ἐπὶ πόσῳ;,,(for) how much?,λόγος,12
κατὰ πόλιν,ἐν τῇ πόλει,in the city,λόγος,12
ὀλίγῳ ὕστερον,,a little later,λόγος,12
πῶς δαί;,τί δαί;,what (else) then?,λόγος,12
χοροὺς εἰσάγω,,direct the choir,λόγος,12
ἔκαμνεν,,he/she/it was tired,ῥῆμα,12
ἐπέθηκεν,,he/she/it put on,ῥῆμα,12
ἐρέσσω,,row,ῥῆμα,13
ἡσυχάζω,,keep quiet; rest,ῥῆμα,13
ὁ ἄνεμος,,wind,ὄνομα,13
τὰ ἱστία,,sails,ὄνομα,13
ἀλλήλων,,of one another,ἀντωνυμία,13
βέβαιος,,"firm, steady",ἐπίθετον,13
λαμπρός,,bright; brilliant,ἐπίθετον,13
ταχύς,,swift,ἐπίθετον,13
ἀμύνω,,ward off from; defend o.s. against,ῥῆμα,13
ὀργίζομαι,,grow/be agry (at) (+dat),ῥῆμα,13
ὁ βάρβαρος,,barbarian,ὄνομα,13
ἡ ἐλευθερία,,freedom,ὄνομα,13
τὸ κῦμα,,wave,ὄνομα,13
ἡ μάχη,,fight; battle,ὄνομα,13
τὸ ναυτικόν,,fleet,ὄνομα,13
τὰ στενά,,straits; mountain pass,ὄνομα,13
ἡ τριήρης,,trireme (warship),ὄνομα,13
μηδείς,,"no one, nothing; no",ἀντωνυμία,13
ὅς,,"who, whose, which, that",ἀναφορικὴ ἀντωνυμία,13
ὅσπερ,,"who, whose, which, that (emphatic)",ἀναφορικὴ ἀντωνυμία,13
ἀληθής,,true ,ἐπίθετον,13
ἐκεῖνος,,that; those (pl),ἐπίθετον,13
ψευδής,,false ,ἐπίθετον,13
τὰ ψευδῆ,,lies,ὄνομα,13
ἐγγύς,,near (+gen),πρόθεσις,13
ἅμα,,"together, at the same time",ἐπίρρημα,13
ὅτε,,when,σύνδεσμος,13
ὡς δοκεῖ,,as it seems,λόγος,13
τῷ ὄντι,,in truth,λόγος,13
ἡ Ἑλλάς,,Greece,ὄνομα,13
ᾄδω,ἀείδω,sing,ῥῆμα,13
ἀνοικοδομέω,,build up; rebuild,ῥῆμα,13
ἀντιτάττω,ἀντιτάσσω,set against; face in battle,ῥῆμα,13
ἀξιόω,ἀξιῶ,"think, deem worthy",ῥῆμα,13
ἀποκαλύπτω,,"uncover, reveal, disclose",ῥῆμα,13
διαβιβάζω,,"carry over, transport",ῥῆμα,13
ἐξανθέω,,put out flowers; bloom,ῥῆμα,13
ἐρέσσω,ἐρέττω,row,ῥῆμα,13
καταλέγω,,lay down; pick out; recount,ῥῆμα,13
κατασκευάζω,,"equip, furnish, prepare",ῥῆμα,13
κινδυνεύω,,"be daring, take risk(s); venture",ῥῆμα,13
κυμαίνω,,"swell, seethe",ῥῆμα,13
παύομαι,,"stop, rest (from)",ῥῆμα,13
περιγίγνομαι,,"prevail (over), overcome",ῥῆμα,13
ῥίπτω,,throw (away),ῥῆμα,13
ὑπείκω,,"retire, yield",ῥῆμα,13
τὸ δάκρυον,,tear,ὄνομα,13
ἡ δόξα,,"opinion, belief; appearance; glory",ὄνομα,13
ἡ δουλεία,,"slavery, bondage",ὄνομα,13
ὁ ἐρέτης,,rower,ὄνομα,13
ἡ ἰσονομία,,"equality (of rights), balance",ὄνομα,13
τὸ κατάστρωμα,,"deck, floor",ὄνομα,13
ὁ κελευστής,,boatswain (captain),ὄνομα,13
τὸ μέλος,,"limb; song, tune",ὄνομα,13
ἡ ὀλιγαρχία,,oligarchy,ὄνομα,13
οἱ πατέρες,,(fore)fathers,ὄνομα,13
τὸ πεῖσμα,,"ship's cable; persuasion, confidence",ὄνομα,13
τὸ πένθος,,"grief, sorrow",ὄνομα,13
ἡ πολιτεία,,constitution; citizenship; government,ὄνομα,13
ἡ τέχνη,,"art, skill, craft",ὄνομα,13
ἡ τόλμα,,courage,ὄνομα,13
ἡ τροφή,,"nourishment, food",ὄνομα,13
ἡ τυραννίς,,"monarchy, despotic rule",ὄνομα,13
ὁ τύραννος,,absolute ruler,ὄνομα,13
ἡ ὕβρις,,"insolence, violence",ὄνομα,13
ἄγευστος,,"not tasting, not (having) tasted",ἐπίθετον,13
ἄδηλος,,"unseen, invisible",ἐπίθετον,13
ἀληθής,,"true, honest",ἐπίθετον,13
ἄμαχος,,"invincible, non-combatant",ἐπίθετον,13
ἄπειρος,,"inexperienced, ignorant; infinite",ἐπίθετον,13
κρείττων,κρείσσων,"stronger, more powerful; better",ἐπίθετον,13
μείζων,,greater,ἐπίθετον,13
ναυτικός,,"seafaring, naval",ἐπίθετον,13
οἰκεῖος,,domestic; related; personal; suitable,ἐπίθετον,13
οὔριος,,with a fair wind; prosperous,ἐπίθετον,13
σαφής,,"clear, plain, distinct",ἐπίθετον,13
στρογγύλος,,"round, spherical",ἐπίθετον,13
ὕστερος,,"latter, next",ἐπίθετον,13
χίλιοι,,a thousand,ἐπίθετον,13
ἄνευ,,"without, away from, except (+ gen)",πρόθεσις,13
ἐπιφθόνως,,odiously,ἐπίρρημα,13
ἀπ᾽ ἀρχῆς,ἐξ ̓ ἀρχῆς,from the beginning,λόγος,13
ἥσυχος ἔχω,ἡσυχάζω,be calm/quiet,λόγος,13
ναῦς μακρά,,warship,λόγος,13
οὐδὲν λέγω,,never mind,λόγος,13
στρογγύλη ναῦς,,merchant vessel,λόγος,13
τεθραμμένοι,,having been raised/nourished,μετοχή,13
ἐλπίζω,,hope; expect; suppose,ῥῆμα,14
ἐπιπέμπω,,send against; send in,ῥῆμα,14
πράττω,,fare; do,ῥῆμα,14
προσβάλλω,,attack (+dat),ῥῆμα,14
συμβάλλω,,join battle (with +dat),ῥῆμα,14
συνέρχομαι,,come together,ῥῆμα,14
χράομαι,,use; enjoy (+dat),ῥῆμα,14
ὁ ὁπλίτης,,hoplite (soldier),ὄνομα,14
τὸ πλῆθος,,number; multitude,ὄνομα,14
ὁ στόλος,,expedition; army; fleet,ὄνομα,14
ὁ στρατιώτης,,soldier,ὄνομα,14
ὁ στρατός,,army,ὄνομα,14
ὀλίγος,,small; few,ἐπίθετον,14
οὗτος,,this,ἐπίθετον,14
στενός,,narrow,ἐπίθετον,14
ἐν μέσῳ,,between,λόγος,14
κατὰ γῆν,,by land,λόγος,14
ὁ Ἕλλην,,Greek (person),ὄνομα,14
ἀγγέλλω,,announce; tell,ῥῆμα,14
ἀναχωρέω,,"retreat, withdraw",ῥῆμα,14
ἀντέχω,,resist,ῥῆμα,14
γράφω,,write,ῥῆμα,14
διέρχομαι,,come/go through,ῥῆμα,14
παραγίγνομαι,,arrive,ῥῆμα,14
φράζω,,"show; tell (of), explain",ῥῆμα,14
ὁ πόλεμος,,war,ὄνομα,14
αἱ πύλαι,,double gates; (mountain) pass,ὄνομα,14
ἅπας,,all; every; whole,ἐπίθετον,14
ὅδε,,this here,ἐπίθετον,14
πολέμιος,,hostile; enemy,ἐπίθετον,14
ὅπου,,where,πρόθεσις,14
ἕως,,until,σύνδεσμος,14
τῇ προτεραίᾳ,,on the day before,λόγος,14
ἀττικίζω,,"atticize, side with Athens; speak Attic dialect",ῥῆμα,14
διαβάλλω,,slander; deceive; throw (across),ῥῆμα,14
ἐμβλέπω,,"look in the face, look at",ῥῆμα,14
ἐρίζω,,"strive, wrangle, quarrel",ῥῆμα,14
καταστρέφομαι,,subdue,ῥῆμα,14
μαίνομαι,,"rage, be furious",ῥῆμα,14
παίω,,"strike, smite",ῥῆμα,14
πλησιάζω,,bring near,ῥῆμα,14
προσκεῖμαι,,be placed (by/upon); be involved in; belong to,ῥῆμα,14
σιωπάω,,"be silent, still",ῥῆμα,14
στρατεύομαι,,serve in war; lead an army,ῥῆμα,14
ὑβρίζω,,"insult, mistreat, be insolent",ῥῆμα,14
ὁ ἀστός,,townsman; citizen,ὄνομα,14
ἡ ἀτραπός,,"short-cut, path",ὄνομα,14
ἡ διαβολή,,"slander, enmity",ὄνομα,14
ἡ διάλεκτος,,"discourse, conversation; enunciation, dialect",ὄνομα,14
τὸ ἐπίγραμμα,,inscription,ὄνομα,14
ἡ ἔρις,,"strife, quarrel",ὄνομα,14
ἡ ἔχθρα,ἡ ἔχθρη,"hatred, enmity",ὄνομα,14
ὁ θρόνος,,"seat, chair, throne",ὄνομα,14
ὁ κατάσκοπος,,"scout, spy, inspector",ὄνομα,14
ὁ κλέπτης,,thief,ὄνομα,14
ἡ κραυγή,,"crying, screaming, shouting",ὄνομα,14
ὁ κυβερνήτης,,"captain, helmsman; guide",ὄνομα,14
ἡ μεταβολή,,"change, changing",ὄνομα,14
τὸ μνῆμα,,"memorial, remembrance, record",ὄνομα,14
ἡ ὁμόνοια,,"unanimity, concord",ὄνομα,14
οἱ πόροι,,pores (in skin),ὄνομα,14
τὸ ῥῆμα,,"saying, word; verb",ὄνομα,14
ἡ στήλη,,slab; block (of stone),ὄνομα,14
ἀμείνων,,better,ἐπίθετον,14
ἐλάττων,ἐλάσσων,"smaller, less, worse",ἐπίθετον,14
κάκιστος,,(the) worst,ἐπίθετον,14
κακίων,,worse,ἐπίθετον,14
καλλίων,,better,ἐπίθετον,14
κοινός,,common,ἐπίθετον,14
πανοῦργος,,"villain(ous), treacherous, sly",ἐπίθετον,14
πολλαπλάσιος,,many times as many; much larger,ἐπίθετον,14
πονηρός,,"toilsome, painful; worthless",ἐπίθετον,14
ἑπτάκις,,seven times,ἀριθμητικόν,14
τριακόσιοι,,three hundred,ἀριθμητικόν,14
τρίς,,thrice,ἀριθμητικόν,14
Δωριστί,,in Dorian fashion,ἐπίρρημα,14
εἰκότως,,"suitably, reasonably, naturally",ἐπίρρημα,14
ταύτῃ,,in this way,ἐπίρρημα,14
τῇδε,,"here, thus",ἐπίρρημα,14
οὐ καταπροίξει,,you shall not escape unpunished,λόγος,14
ἀναγκάζω,,compel,ῥῆμα,15
διαφθείρω,,destroy,ῥῆμα,15
εἴκω,,yield,ῥῆμα,15
ἡ ἀπορία,,perplexity; difficulty; at a loss,ὄνομα,15
ὁ ναύαρχος,,admiral,ὄνομα,15
ὁ νοῦς,,mind,ὄνομα,15
ὁ στρατηγός,,general,ὄνομα,15
ἡ φυγή,,flight,ὄνομα,15
μόνος,,alone; only,ἐπίθετον,15
μηκέτι,,don't...any longer; no longer,ἐπίρρημα,15
μόνον,,only,ἐπίρρημα,15
οὐ μόνον...ἀλλὰ καί,,not only...but also,σύνδεσμος,15
ἀνέστην,,I stood up,ῥῆμα,15
βλάπτω,,"harm, hurt",ῥῆμα,15
δηλόω,,show,ῥῆμα,15
ἐλευθερόω,ἐλευθερῶ,(set) free,ῥῆμα,15
ἐμπίπτω,,fall into/upon; attack,ῥῆμα,15
ἐπιπλέω,,sail against,ῥῆμα,15
ναυμαχέω,,fight by sea,ῥῆμα,15
πειράω,,"try, attempt",ῥῆμα,15
πιστεύω,,"trust, be confident (in)(+dat)",ῥῆμα,15
συμπίπτω,,"clash (+dat), clash with",ῥῆμα,15
ὁ ἀγών,,struggle; contest,ὄνομα,15
ἡ ἀρετή,,excellence; virtue; courage,ὄνομα,15
ὁ θόρυβος,,"uproar, commotion",ὄνομα,15
ὁ κόσμος,,good order,ὄνομα,15
κόσμῳ,,in (good) order,λόγος,15
τὸ μέρος,,part,ὄνομα,15
ὁ νεκρός,,corpse,ὄνομα,15
ἡ νίκη,,victory,ὄνομα,15
ἡ πατρίς,,fatherland,ὄνομα,15
ὁ πέπλος,,robe; cloth,ὄνομα,15
ὁ πρόγονος,,ancestor,ὄνομα,15
ἡ σπουδή,,haste; eagerness,ὄνομα,15
ἡ τύχη,,chance; luck; fortune,ὄνομα,15
δεξιός,,(on the) right,ἐπίθετον,15
πεζός,,on foot,ἐπίθετον,15
πανταχοῦ,,everywhere,ἐπίρρημα,15
ἀπονέμω,,"portion out, impart, assign",ῥῆμα,15
ἀρκέομαι,ἀρκοῦμαι,be satisfied with (+ dat.),ῥῆμα,15
διαγιγνώσκω,,"distinguish, discern",ῥῆμα,15
διαθερμαίνω,,warm through,ῥῆμα,15
δουλεύω,,be a slave; serve,ῥῆμα,15
δουλόω,δουλῶ,enslave,ῥῆμα,15
ἐπιφλέγω,,"burn up, consume",ῥῆμα,15
ἐχθαίρω,,hate,ῥῆμα,15
καταδουλόω,,"reduce to slavery, enslave",ῥῆμα,15
κλύω,,hear,ῥῆμα,15
κυβερνάω,,"steer, drive, guide",ῥῆμα,15
ἡ ἀκτίς,,"ray, beam",ὄνομα,15
ἡ δίψα,,thirst,ὄνομα,15
τὸ ἕδος,θ ̓ ἔδος,"seat, chair, bench, base",ὄνομα,15
ὁ ἔκπλους,ὁ ἔκπλοος,"sailing out, leaving port",ὄνομα,15
ἡ εὐλογία,,"good language; blessing, eulogy",ὄνομα,15
ἡ θήκη,,"case, chest, tomb",ὄνομα,15
ὁ θύννος,,tuna fish,ὄνομα,15
ὁ κρύσταλλος,,ice; crystal,ὄνομα,15
ἡ κώμη,,village,ὄνομα,15
ἡ μνήμη,,"remembrance, memory",ὄνομα,15
ὁ ὄχθος,,"bank, hill",ὄνομα,15
ὁ παιάν,,"war song, hymn; physician (of the gods)",ὄνομα,15
ἡ πλεονεξία,,"greediness, assumption, arrogance",ὄνομα,15
τὸ ῥῖγος,,"frost, cold",ὄνομα,15
τὸ συνέδριον,,council,ὄνομα,15
ἄωρος,,"untimely, unripe; ugly",ἐπίθετον,15
λοιπός,,"remaining, the rest",ἐπίθετον,15
πατρῷος,πατρώιος,"of one's fathers, ancestral",ἐπίθετον,15
πιστός,,"faithful, obedient",ἐπίθετον,15
μέχρι,,"until, as far as (+ gen.)",πρόθεσις,15
δεύτερον,,"secondly, next, afterwards",ἐπίρρημα,15
δημοσίᾳ,,publicly,ἐπίρρημα,15
εὐτάκτως,,in order,ἐπίρρημα,15
ἥκιστα,,least,ἐπίρρημα,15
ἰδίᾳ,,"by oneself, privately, separately",ἐπίρρημα,15
λάθρᾳ,λάθρῃ,"secretly, by stealth",ἐπίρρημα,15
ὁμοῦ,,"together, nearby",ἐπίρρημα,15
ἔνθα καὶ ἔνθα,,here and there,λόγος,15
προσέχω τὸν νοῦν,,be intent on something,λόγος,15
δύναμαι,,be able; can,ῥῆμα,16
ἐπίσταμαι,,understand; know,ῥῆμα,16
καταλαμβάνω,,overtake; catch,ῥῆμα,16
κεῖμαι,,lie (down),ῥῆμα,16
στρατεύω,,"wage war, campaign (against ἐπί +acc)",ῥῆμα,16
συναγείρω,,gather,ῥῆμα,16
τελευτάω,,end; die,ῥῆμα,16
ὁ ἔνοικος,,inhabitant,ὄνομα,16
ὁ σύμμαχος,,ally,ὄνομα,16
ἡ συμφορά,,misfortune; disaster,ὄνομα,16
διακόσιοι,,two hundred,ἐπίθετον,16
ἑκατόν,,a hundred,ἐπίθετον,16
πόσος,,how much/many?,ἐπίθετον,16
οὐδαμοῦ,,nowhere,ἐπίρρημα,16
πολλαχόσε,,to many parts,ἐπίρρημα,16
ὕστερον,,later,ἐπίρρημα,16
καὶ δὴ καί,,and in particular; and what is more,λόγος,16
ποῦ γῆς;,,where (in the world)?,λόγος,16
λυπέω,,"grieve, vex, cause pain to",ῥῆμα,16
πολιορκέω,πολιορκῶ,besiege,ῥῆμα,16
ὁ βίος,,life,ὄνομα,16
ἡ εἰρήνη,,peace,ὄνομα,16
τὸ ἔτος,,year,ὄνομα,16
ὁ θάνατος,,death,ὄνομα,16
ὁ θυμός,,spirit,ὄνομα,16
ὁ ποταμός,,river,ὄνομα,16
ἡ σπονδή,,libation,ὄνομα,16
αἱ σπονδαί,,peace treaty,ὄνομα,16
ἄξιος,,worthy (of + gen),ἐπίθετον,16
ἥκιστά γε,,"least of all, not at all",λόγος,16
ἀγοράζω,,"buy (in the market), purchase",ῥῆμα,16
ἄρδω,,"make wet; water, refresh",ῥῆμα,16
ἀρόω,,"plow, till, sow",ῥῆμα,16
ἄρχομαι,,begin; control,ῥῆμα,16
εἰσβιάζομαι,,force one's way into,ῥῆμα,16
ἐκβάλλω,,"throw, cast (out/away)",ῥῆμα,16
θαλαττουργέω,"θαλασσουργέω, θαλαττουργῶ, θαλασσουργῶ",be busy with the sea,ῥῆμα,16
ἰλάσκομαι,,appease,ῥῆμα,16
καθαιρέω,καθαιρῶ,take down; destroy; seize,ῥῆμα,16
κατακεῖμαι,,lie down (outstretched); recline,ῥῆμα,16
μισθοφορέω,μισθοφορῶ,receive wages; serve for hire,ῥῆμα,16
ὀρύττω,ὀρύσσω,"dig (a trench), dig up/through",ῥῆμα,16
πέτομαι,,fly,ῥῆμα,16
πήγνυμαι,πήγνυμι,"stick, fix (in), fasten (together)",ῥῆμα,16
πρίαμαι,,"buy, purchase",ῥῆμα,16
προσκρούω,,knock/strike against; take offense,ῥῆμα,16
στέλλομαι,,"send for; set out, journey",ῥῆμα,16
συλλυπέομαι,συλλυποῦμαι,sympathize with,ῥῆμα,16
ἡ ἀκαρπία,,"unfruitfulness, barrenness",ὄνομα,16
ὁ ἁλιεύς,,"seaman, sailor; fisher",ὄνομα,16
ἡ ἁλιευτική (τέχνη),,art of fishing,ὄνομα,16
ὁ ἄνθραξ,,charcoal,ὄνομα,16
ἡ ἀνομβρία,,"drought, want of rain",ὄνομα,16
