Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
αἱρέομαι,,choose,ῥῆμα,28
ἀναμιμνῄσκω,,remind someone (+acc) of something (+acc/gen),ῥῆμα,28
μέμνημαι,,remember,ῥῆμα,28
ἀναστενάζω,,groan aloud,ῥῆμα,28
ἐνθυμέομαι,,take to heart; ponder,ῥῆμα,28
ἐπικαλέω,,call upon,ῥῆμα,28
μεταγιγνώσκω,,change one's mind; repent,ῥῆμα,28
παρίσταμαι,,stand near/be; help (+dat),ῥῆμα,28
ἡ ἡσυχία,,quietness,ὄνομα,28
ἡ νεφέλη,,cloud,ὄνομα,28
ὁ ὄλβος,,"happiness, bliss; prosperity",ὄνομα,28
ἡ σιγή,,silence,ὄνομα,28
ἀνόητος,,foolish,ἐπίθετον,28
ἔσχατος,,furthest; extreme,ἐπίθετον,28
ἀντί,,instead of; against (+gen),πρόθεσις,28
περὶ οὐδενὸς ποιοῦμαι,,consider of no importance,λόγος,28
ἐκπνέω,,blow out; blow from,ῥῆμα,29
ἐπιγίγνομαι,,come after,ῥῆμα,29
ἐπιτίθεμαι,,"dissolve; reak up, destroy",ῥῆμα,29
ἐπιχειρέω,,attempt (+dat),ῥῆμα,29
παραπλέω,,sail by; sail past; sail along,ῥῆμα,29
στέλλω,,send; equip; take down (sails),ῥῆμα,29
συνάγω,ξυνάγω,bring together; compress,ῥῆμα,29
φρουρέω,,guard; be on guard,ῥῆμα,29
ἡ ἕως,,dawn,ὄνομα,29
ἡ ἤπειρος,,land; mainland,ὄνομα,29
ὁ κόλπος,,lap; gulf,ὄνομα,29
ἡ ναυμαχία,,naval battle,ὄνομα,29
τὸ πλοῖον,,boat,ὄνομα,29
τὸ πνεῦμα,,breeze,ὄνομα,29
ἡ πρύμνη,,stern (of a ship),ὄνομα,29
ἡ πρῷρα,,bow (of a ship),ὄνομα,29
ἡ τάξις,,rank; position,ὄνομα,29
ἡ ταραχή,,confusion,ὄνομα,29
εἴσω,ἔσω,inward,ἐπίρρημα,29
μήτε,,and not,σύνδεσμος,29
μήτε...μήτε,,neither...nor,σύνδεσμος,29
ἐπὶ τὴν ἕω,,at dawn,λόγος,29
κατὰ μέσον,,in the middle of,λόγος,29
ἀποστέλλω,,send off,ῥῆμα,29
ἐξαρτύω,,equip,ῥῆμα,29
καταδύω,,sink,ῥῆμα,29
προσπίπτω,,fall against/on (+dat),ῥῆμα,29
ταράττω,ταράσσω,confuse,ῥῆμα,29
χωρέω,,go; come,ῥῆμα,29
ἡ παρασκευή,,preparation,ὄνομα,29
τὸ τρόπαιον,,trophy,ὄνομα,29
κατέχω,,hold back,ῥῆμα,29
ὁρμίζω,,bring (a ship) into harbor,ῥῆμα,29
παρακελεύομαι,,"encourage, exhort",ῥῆμα,29
ἡ εὐρυχωρία,,broad waters,ὄνομα,29
ἡ ἧττα,ἡ ἧσσα,defeat,ὄνομα,29
τὸ πάθος,,experience; misfortune,ὄνομα,29
πρόθυμος,,eager,ἐπίθετον,29
οὗπερ,,where,ἐπίρρημα,29
ἀνάγομαι,,put out to sea,ῥῆμα,29
ἀπολαμβάνω,,"cut off, intercept",ῥῆμα,29
ἀφαιρέομαι,,take away for myself; save,ῥῆμα,29
διαφεύγω,,escape,ῥῆμα,29
ἐπεισβαίνω,ἐπεσβαίνω,go into,ῥῆμα,29
ἐπιβοηθέω,,come to aid (+dat),ῥῆμα,29
