,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
17,ἑαυτῷ,ἑαυτοῦ,"ἑαυτοῦ, ἑαυτοῦ, ἑαυτῆς, ἑαυτοῦ, himself, herself, itself",e(autw=|,"  reflexive pronoun neuter dative singular,   reflexive pronoun masculine dative singular",1,Aesop's Fables,The Monkey and the Dolphin
18,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
19,πίθηκον.,πίθηκος,"πίθηκος, an ape, monkey",pi/qhkon.,  masculine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
20,Γενομένων,γίγνομαι,"γίγνομαι, γίγνομαι, γενήσομαι, ἐγενόμην, γέγονα, γεγένημαι, ΧΧΧ, be born; become; happen",*genome/nwn," aorist middle participle masculine genitive plural,  aorist middle participle neuter genitive plural",1,Aesop's Fables,The Monkey and the Dolphin
21,δ',inconclusive,inconclusive,d',inconclusive,1,Aesop's Fables,The Monkey and the Dolphin
22,αὐτῶν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)tw=n,"  personal pronoun neuter genitive plural,   personal pronoun feminine genitive plural,   personal pronoun masculine genitive plural,   neuter genitive plural,   masculine genitive plural,   feminine genitive plural",1,Aesop's Fables,The Monkey and the Dolphin
23,κατὰ,κατά,"κατά, κατά, down from, under, against (+ gen); according to, throughout (+ acc.)",kata\,"  preposition,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
24,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
25,"Σούνιον,",Σούνιον,"Σούνιον, Sunium","*sou/nion,","  Proper-name noun neuter nominative singular,  Proper-name noun neuter vocative singular,   Proper-name noun neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
26,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
27,τῆς,ὁ,"ὁ, ὁ, the [definite article]",th=s,  definite article feminine genitive singular,1,Aesop's Fables,The Monkey and the Dolphin
28,Ἀττικῆς,Ἀττικός,"Ἀττικός, Attic, Athenian",*)attikh=s,  proper-name adjective feminine genitive singular,1,Aesop's Fables,The Monkey and the Dolphin
29,"ἀκρωτήριον,",ἀκρωτήριον,"ἀκρωτήριον, cape, peak, extremity","a)krwth/rion,"," neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
30,χειμῶνα,χειμών,"χειμών, χειμών, winter; storm, stormy weather",xeimw=na,  masculine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
31,σφοδρὸν,σφοδρός,"σφοδρός, vehement, violent, excessive",sfodro\n," masculine accusative singular,  feminine accusative singular,   neuter nominative singular,  neuter vocative singular,  neuter accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
32,συνέβη,συμβαίνω,"συμβαίνω, συμβαίνω, come together; come to an agreement, come to terms; (impersonal) come to pass, happen",sune/bh,  aorist active indicative 3rd singular,1,Aesop's Fables,The Monkey and the Dolphin
33,γενέσθαι.,γίγνομαι,"γίγνομαι, γίγνομαι, γενήσομαι, ἐγενόμην, γέγονα, γεγένημαι, ΧΧΧ, be born; become; happen",gene/sqai.,  aorist middle infinitive,1,Aesop's Fables,The Monkey and the Dolphin
34,Τῆς,ὁ,"ὁ, ὁ, the [definite article]",*th=s,  definite article feminine genitive singular,1,Aesop's Fables,The Monkey and the Dolphin
35,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Monkey and the Dolphin
36,νεὼς,ναός,"ναός, the dwelling of a god, a temple",new\s,"  masculine accusative plural,   masculine nominative singular",1,Aesop's Fables,The Monkey and the Dolphin
37,περιτραπείσης,περιτρέπω,"περιτρέπω, to turn and bring round",peritrapei/shs,"  aorist passive participle masculine nominative singular,  aorist passive participle masculine vocative singular",1,Aesop's Fables,The Monkey and the Dolphin
38,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
39,πάντων,πᾶς,"πᾶς, πᾶς, πᾶσα, πᾶν, all, every, whole",pa/ntwn,"  masculine genitive plural,   neuter genitive plural",1,Aesop's Fables,The Monkey and the Dolphin
40,"διακολυμβώντων,",διακολυμβάω,"διακολυμβάω, dive and swim across","diakolumbw/ntwn,"," present active participle masculine genitive plural,  present active participle neuter genitive plural,  present active imperative 3rd plural",1,Aesop's Fables,The Monkey and the Dolphin
41,ἐνήχετο,νήχω,"νήχω, to swim",e)nh/xeto,  imperfect middle-passive indicative 3rd singular,1,Aesop's Fables,The Monkey and the Dolphin
42,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
43,ὁ,ὁ,"ὁ, ὁ, the [definite article]",o(,  definite article masculine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
44,πίθηκος.,πίθηκος,"πίθηκος, an ape, monkey",pi/qhkos.,  masculine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
45,Δελφὶς,Δελφίς,"Δελφίς, Delphic",*delfi\s,  Proper-name noun feminine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
46,δέ,δέ,"δέ, δέ, ...on the other hand",de/,  particle,1,Aesop's Fables,The Monkey and the Dolphin
47,τις,τις,"τις, τις, τι, someone, something; anyone, anything; some, any",tis,  indefinite pronoun common nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
48,αὐτὸν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)to\n,"  personal pronoun masculine accusative singular,   masculine accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
