,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
106,τῶν,ὁ,"ὁ, ὁ, the [definite article]",tw=n,"  definite article feminine genitive plural,   definite article masculine genitive plural,   definite article neuter genitive plural",1,Aesop's Fables,The Fox and the Goat
107,σκελῶν,σκέλλω,"σκέλλω, to dry, dry up, make dry, parch",skelw=n,"  future active participle masculine nominative singular,  future active participle masculine vocative singular",1,Aesop's Fables,The Fox and the Goat
108,αὐτοῦ,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)tou=,"  personal pronoun neuter genitive singular,   personal pronoun masculine genitive singular,   adverb (cp αὐτοῦ),   neuter genitive singular,   masculine genitive singular",1,Aesop's Fables,The Fox and the Goat
109,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Fox and the Goat
110,τῶν,ὁ,"ὁ, ὁ, the [definite article]",tw=n,"  definite article feminine genitive plural,   definite article masculine genitive plural,   definite article neuter genitive plural",1,Aesop's Fables,The Fox and the Goat
111,ὤμων,ὦμος,"ὦμος, shoulder (with the upper arm)",w)/mwn,  masculine genitive plural,1,Aesop's Fables,The Fox and the Goat
112,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Fox and the Goat
113,τῶν,ὁ,"ὁ, ὁ, the [definite article]",tw=n,"  definite article feminine genitive plural,   definite article masculine genitive plural,   definite article neuter genitive plural",1,Aesop's Fables,The Fox and the Goat
114,κεράτων,κέρας,"κέρας, the horn of an animal",kera/twn,  neuter genitive plural,1,Aesop's Fables,The Fox and the Goat
115,ἐπὶ,ἐπί,"ἐπί, ἐπί, on (+ gen); on, pertaining to, on condition that (+ dat); onto, over, against, for (purpose) (+ acc)",e)pi\,"  preposition,   adverb (e.g., tmesis)",1,Aesop's Fables,The Fox and the Goat
116,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
117,στόμα,στόμα,"στόμα, στόμα, τό, mouth (noun)",sto/ma,"  neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
118,τοῦ,ὁ,"ὁ, ὁ, the [definite article]",tou=,"  definite article masculine genitive singular,   definite article neuter genitive singular",1,Aesop's Fables,The Fox and the Goat
119,φρέατος,φρέαρ,"φρέαρ, a well",fre/atos,  neuter genitive singular,1,Aesop's Fables,The Fox and the Goat
120,εὑρέθη,εὑρίσκω,"εὑρίσκω, εὑρίσκω, εὑρήσω, ηὗρον, ηὕρηκα, ηὕρημαι, ηὑρέθην, find, discover",eu(re/qh,  aorist passive indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
121,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Fox and the Goat
122,ἀνελθοῦσα,ἀνέρχομαι,"ἀνέρχομαι, to go up",a)nelqou=sa,"  aorist active participle feminine nominative singular (morph21),  aorist active participle feminine vocative singular",1,Aesop's Fables,The Fox and the Goat
123,ἀπηλλάττετο.,ἀπαλλάσσω,"ἀπαλλάσσω, to set free, release, deliver",a)phlla/tteto.,  imperfect middle-passive indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
